policy_id,source,early_ac_c,mid_ac_c,qfrac_derate,qfrac_ac_off,note,feasible_parameter_space,feasibility_reason,dc_c,tau_factor_set,f_Hz,period_s,peak_c_nominal,schedule_type,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_max_abs_s,resid_positive_fraction,dt_resid_class,min_U_NE_mV,margin_class,fraction_time_below_0mV,fraction_time_below_50mV,Q_at_min_U_NE_Ah,t_at_min_U_NE_s,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,max_c_e_range_molm3,c_e_range_at_min_U_NE_molm3,max_neg_surface_sto_range,surface_range_at_min_U_NE,eta_n_at_min_U_NE_V,max_c_e_range_vs_DC,surface_range_at_min_vs_DC,abs_eta_n_at_min_vs_DC,hard_margin_violation,buffer_margin_exposure,peak_current_soft_violation,bo_ready_score,constraint_verdict
seed_sched_v2_conservative,Day35_primary_candidate,0.38,0.1,0.7,0.8,Day35 primary candidate,True,ok,0.3,1.5,0.002921625190367048,342.27525258788194,0.6799999999999999,qfrac_time_proxy,55.576168412751606,0.04189671247718252,137.9424579174315,55.593111605109634,-0.01694319235802766,0.016962527903658042,0.07126627932666452,0.01,geometry_dominated,24.160262360136276,near_boundary,0.0,0.2251685393258427,3.069916043894553,7284.636651267668,3.3592854112648913,3.3999912821600367,4.043494770243527,747.6848433551694,733.2190244804582,0.13327870236770345,0.09408751428154627,-0.06891482036589446,1.9786909892746094,0.8061198748701185,1.5209479478900194,False,True,False,0.41977953568170073,feasible_near_boundary
seed_sched_v3_early_derate,Day35_balanced_candidate,0.38,0.2,0.7,0.85,Day35 balanced candidate,True,ok,0.3,1.5,0.002921625190367048,342.27525258788194,0.6799999999999999,qfrac_time_proxy,60.7653088081643,0.04189671247718252,137.9424579174315,60.78269879335254,-0.017389985188235074,0.017409320733865457,0.08899969903995952,0.01,geometry_dominated,20.499176522101415,near_boundary,0.0,0.22050570653887383,3.764382334111092,8991.725735369386,2.4917211494662923,3.3999912821600367,4.154231845718357,747.6848433551694,519.613456703727,0.13327870236770345,0.10398273739532571,-0.05734168467657226,1.9786909892746094,0.8908998382818661,1.265529202199745,False,True,False,0.4297263181819099,feasible_near_boundary
seed_sched_v5_low_stress,Day35_low_stress_candidate,0.3,0.1,0.75,0.85,Day35 low-transport-stress candidate,True,ok,0.3,1.5,0.002921625190367048,342.27525258788194,0.6,qfrac_time_proxy,60.09855055013729,0.02575680907784772,108.91410836526939,60.11023787633001,-0.011687326192727028,0.01170521351621062,0.22638568756610766,0.01,geometry_dominated,16.256867294337823,near_boundary,0.0,0.20064076892270724,3.34573842229979,7966.6240600417905,2.980745201818558,2.999979942104556,4.090871367229088,670.1783594757309,623.7059032884405,0.12445887232841446,0.07849371117666193,-0.06326246366532906,1.773575983098468,0.6725158073841511,1.3962006108321416,False,True,False,0.40326860347916005,feasible_near_boundary
seed_conservative_low_mid,Day38_seed,0.35,0.05,0.65,0.78,more conservative than v2,True,ok,0.3,1.5,0.002921625190367048,342.27525258788194,0.6499999999999999,qfrac_time_proxy,83.31543778514919,0.03670822718049749,127.06216820251439,83.33105398717588,-0.015616202026689053,0.015630497299188164,0.0971156535542832,0.01,geometry_dominated,35.07805199239103,near_boundary,0.0,0.20341489647754774,2.924414902374612,6942.188437687537,3.2136568315566882,3.2499833148153976,4.009669770396929,712.634678725352,697.4609549207973,0.12967362687114964,0.10626471498737156,-0.06616443594605356,1.8859333982361262,0.9104512899808852,1.4602470490549713,False,True,False,0.6583928553500208,feasible_near_boundary
seed_balanced_late_off,Day38_seed,0.35,0.15,0.7,0.88,moderate amplitude with later AC-off,True,ok,0.3,1.5,0.002921625190367048,342.27525258788194,0.6499999999999999,qfrac_time_proxy,55.449232953060694,0.03670822718049749,127.06216820251439,55.46308724356081,-0.013854290500106572,0.013868585772605684,0.0971156535542832,0.01,geometry_dominated,25.04152390827897,near_boundary,0.0,0.19563397514328032,3.9022371239979075,9333.066613322664,2.245347116442714,3.2499833148153976,4.16481641031312,718.6095574516609,474.29157385855297,0.12967362687114964,0.10840612585051046,-0.053953941566456505,1.9017454596986851,0.9287983987361818,1.190761816839787,False,True,False,0.43733628431299026,feasible_near_boundary
seed_aggressive_margin_test,Day38_seed,0.42,0.2,0.75,0.9,"aggressive margin test, not expected best",True,ok,0.3,1.5,0.002921625190367048,342.27525258788194,0.72,qfrac_time_proxy,87.1084789021936,0.018000911805756914,152.45748515598643,87.12884534522698,-0.020366443033398695,0.020366443033398695,0.11700078647663759,0.0,geometry_dominated,3.647084866559196,near_boundary,0.0,0.2308213274227312,3.3558461928498695,7966.2134275557655,3.5755320657992096,3.5999833590827643,4.113792330747502,786.2546479581857,728.4559800464207,0.13816283712569039,0.08851794407900448,-0.07249197512838743,2.080763039422907,0.758401096570606,1.5998956425428121,False,True,False,0.4464792448560377,feasible_near_boundary
seed_low_amplitude_long_window,Day38_seed,0.25,0.1,0.8,0.93,lower amplitude but longer AC window,True,ok,0.3,1.5,0.002921625190367048,342.27525258788194,0.55,qfrac_time_proxy,44.44209868338625,0.025176572432428657,90.73264563487055,44.44900134452776,-0.006902661141512567,0.006960185727558041,0.04020811487316678,0.01,geometry_dominated,18.189741823468072,near_boundary,0.0,0.18283481541363514,3.482260190318934,8306.652876459182,2.741124664143699,2.7499895402137655,4.1098168565651,621.4757038520739,565.6026069952441,0.12410153394298407,0.0826927722108094,-0.059712296305213616,1.6446881145095669,0.7084923828231607,1.3178485273127316,False,True,False,0.3371343789500275,feasible_near_boundary
