condition,feature_id,variable_key,status,shape,error
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 14885)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_1p5tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(14885,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 13646)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_2p0tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(13646,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 13049)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(13049,)",
Chen2020_DFN_fine_DC03_AC07_3p0tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(13049,)",
